"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33146.6705478771","34079.2304630075","34458.142297503","34627.74347531","35580.5339781279","35476.4099870864","34506.5330803752","35534.2745034868","35361.1658888898","35316.6229395578","37618.9926155094","38827.4672740448","38195.3176084346","38182.3925262649","40101.7876131851","38926.4750002706","38664.3995098654","39562.4488484876","39982.5119922148","35074.6841221014","34037.5423205595","34926.1008924322","34058.3102329903","35711.9290506967","35837.3240929711","36753.4041726178","36926.1130685729","38213.2892388309","39378.2284109047","39754.5600722149","30408.8270901983","35207.1709088639","39083.4616398507","42783.2489072067","45428.0027283518","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3520.01923283181","3425.13642950575","3252.31688807554","3127.87771409203","3099.43016512431","3155.04482771421","3247.12512375102","3291.6166582364","3269.45779459289","3268.36525112817","3282.34890610805","3313.89288261021","3350.69383885552","3357.78391588863","3457.68872066042","3578.21297897429","3718.69348523405","3867.50878828538","3935.02291750962","3870.96186560735","3978.12957148745","4033.18732362122","4051.44571135342","4126.33539547848","4186.24851129339","4207.36357863407","4210.93569503277","4223.1880503424","4229.83963374442","4200.53104400094","3978.13350151887","4049.96951303993","4098.12619221564","4076.22489796629","4099.88981217493","4164.67917723425",
"Afghanistan","AFG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1617.82647494969","1454.11078195559","1774.30874287341","1815.92819979586","1776.91820712187","1908.11478234587","1929.72389709372","2155.35306784413","2191.50435559062","2565.02208584099","2848.58606111495","2757.05258747725","2985.31914452845","3046.57993117128","3017.94254424696","2967.692067153","2958.7853992308","2952.99891598909","2902.39211285546","2927.2451435353","2769.68574507111","2144.16657002819","1981.71016810561","1983.81261992909","1964.45228895456","",
"Africa Western and Central","AFW","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4165.72636252068","4101.37888894377","4090.01941740886","3928.31233108379","3812.2754133601","3774.10449511756","3841.15001765706","3894.84261146833","3922.4342238425","3874.21131764426","3915.43484958221","4010.5626021227","4299.84975097232","4423.57041270062","4648.60628015945","4782.44213997441","4899.65713639306","5023.69882254656","5188.67101371784","5362.1536063345","5582.43094395132","5698.38949989214","5823.41894631103","6009.65186054619","6183.24116217304","6194.43449404851","6034.82698886686","6009.51611369801","6026.52757172836","6070.28476944465","5698.76670161724","5702.13488630478","5818.48322357838","5886.79663594125","6009.08466240495","6139.58729379935",
"Angola","AGO","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8366.41271626349","8170.24939362119","7445.43836708148","5481.76386792194","5377.99034967929","5981.53257569901","6565.86479361918","6808.33628106109","6893.12265289502","6815.17530603212","6794.53021072097","6846.79269543978","7521.73598754911","7516.81391491319","8079.52613328266","8892.92106099154","9586.17542123825","10434.7087224445","11131.6310145389","10930.2531201205","11074.0723813984","11034.5919687814","11516.8133246588","11622.978345524","11718.4286832376","11389.7609549481","10963.9967887173","10565.1676483607","10154.8389228005","9712.97944927269","8904.94900580168","8720.18768742123","8750.99363032299","8597.53878787554","8752.7974709833","8760.19081963151",
"Albania","ALB","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5560.8339349099","4027.88880714791","3761.13980833495","4145.90250530525","4517.78007862677","5151.37596211047","5563.77007788975","4942.98350018006","5387.54588745977","6085.98339706701","6581.98909242849","7232.96055449664","7590.45852377781","8025.2480324802","8483.25881549279","8964.28082219496","9563.98954154527","10262.9242359026","11056.3059173381","11430.5746310655","11829.0042369631","12153.0636591785","12463.518369846","12873.4298184073","13366.5040948145","13876.7616296598","14643.4285614716","15359.3974577025","16170.9234325287","16761.1230178682","16457.7189744991","18212.794718288","19388.7927279351","20501.6470726741","21640.9835773271","22724.2938194949",
"Andorra","AND","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50036.3007757561","47624.9668573542","45246.53307101","42605.6595832451","42716.3656354","44375.0247238159","46386.0912022485","50032.3529125128","51092.2222352218","52921.0452609846","54809.1441679423","59109.0136806378","61188.6370851474","63656.1958332184","64353.4858113531","65114.8053663021","66390.293726491","65534.1168555171","60691.6051530637","57203.9708883731","58285.0577756981","60470.4662377044","58172.1323929474","57332.1585611366","59929.2444670501","62105.1542389675","64402.8092369468","63239.6577711911","63048.5985572834","63215.899791913","55488.4902991095","59332.2029100127","63913.3835079105","64631.2963909271","66232.7444195598","67993.0524178882",
"Arab World","ARB","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11355.1718407217","10925.4803164734","11328.2831751529","11373.8756110002","11407.5799459782","11439.965235048","11727.9176909663","12060.4162710899","12414.0808971918","12498.0448761006","12951.1488357919","12942.2801233206","12809.5386646405","12908.1785746866","13743.6011136095","14138.3873353854","14630.4079863564","14935.5647106518","15396.8318989782","15212.2519061915","15618.615472912","15945.1823698333","16186.2739403861","16119.4564896044","16172.6351171803","16397.4908780979","16632.4297723251","16568.8021684707","16749.8977688889","16808.651930358","15768.0410516828","16194.2304401674","16933.1685957842","16830.7594854659","16802.4292966747","17050.8498488892",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111376.984373425","106266.157625225","104207.059133554","100422.832470477","102456.239942581","104527.848240577","103653.542710104","103392.379457138","96088.6587271972","92047.6104655985","95390.8328858321","90750.3257926454","87479.1545350862","89828.493399274","93166.1568863784","92750.9226341994","94872.5121329578","87180.6001633546","80285.1613062103","71488.9696792101","70913.7569272495","73190.4056300014","73644.0549928884","74237.2038000319","74145.1175448951","75238.5571858454","75671.036861385","72529.0423512365","72671.0787288764","72822.9466438922","66808.6209256028","68580.1312912676","70075.63837395","70239.8328337228","69701.785835525","",
"Argentina","ARG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17007.2844317191","18295.6091996812","19476.2840606477","20791.3451479504","21711.842788091","20819.4999479903","21695.5949515372","23172.1583398342","23783.1017185449","22714.5111302701","22281.3814299958","21066.4581290433","18571.7020471274","20005.1385113465","21591.449396517","23262.4075792816","24877.2493922296","26850.6645932771","27658.4853446831","25747.1976809995","28056.2570212342","29425.7593876084","28825.9666865361","29227.6601818437","28200.8152571318","28669.2061336796","27802.1057201498","28334.904184742","27367.115094108","26629.5529419501","23877.0931404855","26300.274261175","27825.0273492567","27230.3968496682","26771.9657650571","27846.5984597239",
