"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.162187829388581","","","","","","","","","","","","","","","","","","","","0.164466780026955","","","","","","","","","","","","0.243384946439894","","","",
"Afghanistan","AFG","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.035","","","","","0.063","","","","","0.065","","","","","","","","","","","0.077","","","","","0.183","0.179","","0.129","0.109","","","0.143","","","","0.11","","","","0.202","","","","","0.166","0.182","0.183","0.22","0.244","0.258","0.246","0.29","0.304","0.29","0.284","0.245","0.303","0.214","0.253","","","0.317","","",
"Africa Western and Central","AFW","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.127104873017247","","","","","","","","","","0.192974642712255","","","","","","","","","","0.210550044248415","","","","","","","","","","","","0.259003082531481","","","",
"Angola","AGO","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.067","","","","","0.076","","","","","0.116","","","","","","","","","","","","","","0.059","","","","","","0.042","","","","","","","0.06","","","","","","","0.063","","","","","0.132","","","","","","","","0.212","0.211","","","","0.244","","","",
"Albania","ALB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.276","","","","","0.481","","","","","0.739","0.911","0.845","","","","","1.036","","","1.367","","","1.415","1.407","1.406","","","","","1.378","1.46","1.604","1.377","1.294","1.302","1.318","1.333","1.347","","1.366","1.303","1.167","1.186","1.194","","1.189","1.2","","1.235","1.243","1.229","1.27","1.276","","","1.212","","","1.645","1.879","","","","","",
"Andorra","AND","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.238","","2.442","2.477","","2.557","2.656","3.053","3.511","3.217","3.295","3.065","3.04","","3.17","2.949","3.136","3.112","3.165","3.297","3.754","4.058","4.119","4.535","4.392","4.587","4.758","5.157","5.068","","",
"Arab World","ARB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1767238952236","","","",
"United Arab Emirates","ARE","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","0.909","","","","","","","","","","1.068","","","","0.953","","","","","","","","","","","","","","","","1.616","1.759","1.761","1.838","1.762","1.494","1.407","1.541","1.845","1.792","1.749","1.786","1.801","2.045","2.232","2.361","2.458","2.502","2.605","2.71","2.83","2.786","2.915","2.992","","",
"Argentina","ARG","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.351","","","","","1.667","","","","","1.892","","","","","1.869","","","","","","","","","2.683","2.705","2.984","","3.032","","2.68","","2.636","","","","","","2.991","","","3.2481","","","3.1857","","","","","","","","4.823","4.884","4.925","4.98","5.024","5.094","5.167","5.25","5.304","5.384","5.437","5.106","","",
"Armenia","ARM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.652","2.59","2.545","2.439","2.443","2.543","2.562","2.635","2.695","2.714","2.79","2.822","2.859","2.878","2.883","2.919","2.887","2.903","2.893","3.026","3.163","3.255","3.36","","","",
"American Samoa","ASM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.772","","","","","","","","","","","","","","","0.781","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.294","","","","","","","","","","0.349","","","","","","","","","","","","","","","","","","","","0.76","0.919","","3.03","","0.76","1.141","","","0.163","","","","","","","","1.763","0.543","","","","","","","","","2.917","","","","","","","","",
