"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","59.0236701687155","59.0727998569268","59.2122712335815","59.4323593543099","59.7233404762133","60.075490856393","60.4790867519502","60.9244044199862","61.4017201176024","61.9013101019","62.4134506299803","62.9284179589446","63.4364883458941","63.9279380479301","64.393043322154","64.822080425667","65.2053256155704","65.5330551489654","65.7955452829535","65.9830722746357","66.0859123811135","66.0991174416016","66.0706191076215","66.0149065385293","65.9393526607032","65.85044772886","65.7546819977163","65.6585457219888","65.5685291563943","65.4911225556494","65.4328161744708","65.4009220636969","65.3905890889858","65.3844666218501","65.3800478100985","65.376703433065","65.3738042700838","65.3707211004889","65.3668247036146","65.3614858587949","65.3545497799987","65.3351137913914","65.2820691308217","65.1982922587168","65.0886533661558","64.9580226442175","64.811270283981","64.6532664765254","64.4888814129295","64.3229852842726","64.1612965549477","63.9992605838571","63.8252085199599","63.6382914355326","63.4392531303795","63.2288374043053","63.0077880571142","62.7768488886109","62.5367636985996","62.288276286885","62.0028837566365","61.9275339886843","61.8811657924257","61.8351492675589","61.7909396819594","61.7485249229588",
"Africa Eastern and Southern","AFE","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","14.6403707377234","14.8677302411759","15.1073674819099","15.3538988801913","15.6071524444076","15.8722457974654","16.1491586540483","16.4300857616442","16.7177015787169","17.0202368912783","17.3391453677373","17.6776253340453","18.0414446048655","18.4165839044054","18.7846219299136","19.1466187210624","19.4953455274938","19.8365091026403","20.1682614121293","20.4981090939751","20.8433172860217","21.1670112648211","21.4903837159971","21.8611551587153","22.2807384756766","22.7402422863894","23.239144785621","23.7646148522235","24.2951116720964","24.8181998844666","25.3020442054102","25.7041334837666","26.0300551735773","26.3471822105264","26.717769359466","27.0426760218554","27.2782744312251","27.5210299379438","27.8207453137344","28.1370584222489","28.4686879776452","28.8315061435738","29.2210306166309","29.6390356014361","30.0878370669042","30.5372758629303","30.9876495544836","31.3629773942904","31.848999584948","32.2400677597918","32.5903609820214","32.9380985869792","33.2867060801392","33.6673142772775","34.0775774023013","34.4906809355644","34.8812106693274","35.2829868326458","35.714718464725","36.0973307017698","36.4883219609866","36.9085426088518","37.3605781096471","37.7723012408349","38.2414414289603","38.7021396558821",
"Afghanistan","AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","8.12255149340207","8.38959494931345","8.66266423654956","8.94270943787613","9.23113447844093","9.52934328339171","9.83873977787624","10.1607278870423","10.4967115360376","10.84809465001","11.2297657038792","11.6660355418459","12.1619847549558","12.6916916731915","13.2347712388712","13.7708383943132","14.2795080818354","14.7403952437562","15.1331148223937","15.4376007470002","15.6809994542625","15.9037575307894","16.1073778271006","16.2936657965111","16.4644268923362","16.6214665678908","16.7665902764903","16.9016034714497","17.0283116060842","17.1485201337089","17.264034507639","17.3766601811896","17.4882026076758","17.6004672404128","17.7152595327158","17.8343849378999","17.9596489092802","18.0928569001719","18.2358143638901","18.3903267537499","18.5581995230666","18.7412381251552","18.9412480133309","19.1600346409089","19.3993593959593","19.7059095753667","20.1104530189181","20.5906579215423","21.1241481349633","21.6885475109053","22.2614799010924","22.8205691572485","23.3434391310979","23.8077136743646","24.1910166387726","24.4649118421568","24.6588345720126","24.8352821238871","24.9991645191406","25.1437258839803","25.2622103446137","25.3478620272481","25.3939250580909","25.4730529631167","25.7007352636188","25.9401644699898",
"Africa Western and Central","AFW","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","13.9464796319237","14.4684194613816","15.0173831298384","15.5923183426511","16.1906158800289","16.8140481994758","17.455019010897","18.1081615025206","18.7684286824826","19.430801122985","20.0923890635696","20.7643404473544","21.4546914500367","22.1629658544381","22.8790230642497","23.591809981719","24.3081407413288","25.021406376423","25.7017104128805","26.348663984594","26.9966782452075","27.6445069183424","28.2744239920441","28.8914928383052","29.5106185197845","30.1247371845415","30.6903185861855","31.3335896923465","31.9294090434588","32.5195968416227","33.099075887341","33.7878250317871","34.3460832425771","34.8905095320242","35.421243774841","35.9510481961924","36.5042201729237","37.086983841365","37.6770000053917","38.2663210641396","38.8599330559094","39.460746992679","40.0574081818729","40.6531005844209","41.2483844799298","41.8453135723565","42.4489363789709","43.0212188517424","43.5885609704807","44.1595723394052","44.7340356184081","45.306921990073","45.8819111655464","46.4556737847896","47.0323463433828","47.6135647497926","48.1862744131428","48.7610092648065","49.3326762524323","49.9054685471984","50.4923214842153","51.0894191806819","51.7001028474527","52.3021093132307","52.8788239433226","53.4772052295821",
"Angola","AGO","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","10.3871038748875","10.8105449526381","11.2070600250908","11.5817203164711","11.9451804039409","12.308094864662","12.6811182757965","13.0749052145061","13.5001102579529","13.9673879832988","14.4890356191567","15.0758622803081","15.7625860843817","16.5450304427496","17.4163699403863","18.369779162266","19.3984326933631","20.4955051186518","21.6541710231065","22.8676049917016","24.1289816094112","25.4314754612098","26.7682611320717","28.1325132069711","29.5174062708824","30.91611490878","32.321813705638","33.727677246431","35.1268801161331","36.5125968997187","37.878002182162","39.2162705484376","40.5205765835195","41.7840948723822","43","44.2110025396864","45.4556005898678","46.7206500231881","47.993006712291","49.2595265298203","50.5070653484197","51.7224790407329","52.8926234794038","54.0043545370761","55.0445280863936","56","56.8939032662772","57.7564632930133","58.5851745819614","59.3775316348744","60.1310289535053","60.8431610396073","61.5114223949332","62.1333075212361","62.723115793241","63.51567832685","64.2992302517989","65.0850525086068","65.8732136723372","66.6637823180533","67.4568270208187","68.2524163556969","69.0506188977513","69.8515032220457","70.6551379036435","71.4615915176085",
"Albania","ALB","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","30.8420674130923","30.9827513418507","31.0731900817639","31.1398055648366","31.1906326249604","31.2337060960272","31.2770608119285","31.3287316065561","31.3967533138017","31.4901653651322","31.6190126513611","31.7832190295765","31.9754582795241","32.1890629144681","32.4173654476724","32.6536983924011","32.8913942619184","33.1237855694883","33.3442048283749","33.5459569579484","33.7329401193584","33.9086307674847","34.078980200443","34.2492672113262","34.4247705932271","34.6107691392387","34.8125416424538","35.0353668959653","35.284523692866","35.5669897834013","35.8970478012844","36.282411606506","36.7184275131439","37.201625125729","37.728534048792","38.2956838868638","38.8996042444751","39.5368247261567","40.2038749364394","40.8972844798541","41.6135829609314","42.354513990929","43.1520419609419","44.0295089223208","44.9784925669394","45.9937666920583","47.0701050949378","48.2022815728384","49.3850699230207","50.6132439427449","51.8815774292716","53.2917382892465","53.8637553661449","54.2979678058548","54.7325813178673","55.1579291374894","55.5738734464276","55.980276426546","56.377000259892","56.7639071287255","57.1408592155544","57.5077187031778","57.8643477747383","58.2106086137857","58.5463634043555","58.871474331067",
"Andorra","AND","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","58.4500007629395","60.2093959076999","62.0361481576873","63.9184116151966","65.8443403825224","67.8020885619596","69.779810255803","71.7656595663472","73.7477905958871","75.7143574467173","77.6535142211328","79.5534150214282","81.4022139498983","83.1880651088379","84.8991226005418","86.5235405273046","88.0494729914213","89.4650740951865","90.758497940895","91.9178986308415","92.9314302673209","93.7872469526279","94.4735027890573","94.9783518789038","95.2899483244622","95.3964462280273","95.3921798028267","95.377365948814","95.3489827983728","95.3040084838867","94.7658920288086","94.3135604858398","94.0108012203437","93.7590394297725","93.5443620126415","93.3528558674658","93.1706078927605","92.9837049870406","92.7782340488214","92.5402819766179","92.2559356689453","91.8949711110146","91.4605308311615","90.9887515425879","90.5157699584961","89.9563631945418","89.3789218918348","89.0500030517578","88.9407363930477","88.84433315185","88.7604726056609","88.6888340319763","88.6290967082924","88.5809399121053","88.544042920911","88.5180850122057","88.5027454634853","88.4977035522461","88.5080998493791","88.5391793666245","88.5907780427517","88.6627318165299","88.7548766267286","88.8201609217082","88.8850044816278","88.9492672283129",
"Arab World","ARB","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","30.9469841178994","31.6986283522282","32.5088281715815","33.3211275180484","34.099958852189","34.8247463776517","35.4887334551699","36.135856521639","36.8046208046175","37.4816820594287","38.1510988170214","38.8001097864788","39.4518741251562","40.0472132223514","40.6093903938806","41.1512669359608","41.6698983813024","42.1896887107373","42.6990250118045","43.1952540851744","43.7216600593104","44.302212618309","44.8777255315849","45.4254618655866","46.0337487863182","46.6643746509095","47.2952529165784","47.9107954054291","48.4971557570001","49.0532791221626","49.5413126255844","49.9008738978685","50.3473192930772","50.6503278854775","50.9111622395073","51.1341913037906","51.3799445297912","51.6467557350173","51.9040659178161","52.1630246121578","52.4414305753963","52.738168430817","53.0428526060555","53.3521913954159","53.6638769892058","53.9820002905638","54.3116023572253","54.6554574046587","55.012130650449","55.3595981551546","55.5920977319462","56.052080900428","56.7609778940107","57.5747135596837","58.0278238886845","58.351712270484","58.5622937950483","58.6808941601595","58.7847025324078","58.8962879377102","59.0899689866908","59.112484714184","59.3339325148117","59.569940800309","59.8198752449274","60.0362191816888",
"United Arab Emirates","ARE","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","73.5","74.5394859753477","75.4751894908409","76.3230038344243","77.0988222940425","77.8185381576404","78.4980447131624","79.1532352485533","79.8000030517578","80.4878127899824","81.2230740162758","81.9570973473456","82.6411933998997","83.2266727906458","83.6648461362916","83.8978876754588","83.8691315636637","83.3878322179769","82.6247971931856","81.7871675264013","81.1041461310978","80.6536345381341","80.3043955582727","79.9973102271053","79.7336810810801","79.5182620351747","79.3351302664863","79.1617721750887","78.9933447775113","78.8334696681809","78.6857684415241","78.5538626919677","78.4413740139383","78.3519240018627","78.2891342501676","78.2578079598212","78.2689693716933","78.3820753836003","78.5955507596055","78.9002662187301","79.287092479995","79.7469002624215","80.2705602850306","80.8489432668434","81.4729199268812","82.2122832763517","82.5588968646829","82.758608500318","82.9658963549658","83.1701992996163","83.3714299144178","83.5695007795347","83.7643244751488","83.9558135814626","84.1438806787019","84.3284383471193","84.5093991669984","84.686675718659","84.8601805824625","85.0298263388195","85.1955255681984","85.3571908511355","85.5147347682487","85.6680699002526","85.8171088279791","85.9617641324017",
"Argentina","ARG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","71.7238893802647","72.4354744941627","73.1728787774807","73.9273735418668","74.6879628669135","75.4436508322132","76.1834415173586","76.8963390019422","77.5713473655565","78.197470687794","78.7618397059741","79.2692164343612","79.7364960845372","80.172591002121","80.5835904331507","80.9755836236642","81.3546598196994","81.7269082672944","82.098418212487","82.4752789013152","82.8639554289458","83.2689842072422","83.6905247145442","84.1222444561233","84.5580771403692","84.9919564756716","85.4178161704202","85.8295899330048","86.2212114718152","86.5866144952409","86.9197327116719","87.2150276705697","87.4815873775619","87.7307713525095","87.964582650281","88.1853677511823","88.3954731355194","88.5972452835983","88.793030675725","88.9851757922053","89.1760271133454","89.3682951289372","89.5616701920513","89.752468256564","89.9397208794212","90.1233737736072","90.3033726521064","90.4796632279031","90.6521912139817","90.8209023233265","90.9930051940977","91.1072286738406","91.2041217246797","91.3014507719473","91.3975345472954","91.4923019108628","91.5856817228217","91.6776028433824","91.7679941327998","91.8567844513802","91.9439026594897","92.0292776175651","92.112838186126","92.1945132257907","92.2742315972952","92.3519221615173",
